sensorID,date time,battery,co2,humidity,temperature
lw-ms-ambi-03,2025-04-25T06:08:41.286228Z,71,391,56,17.4
lw-ms-ambi-01,2025-04-25T06:14:42.158170Z,67,314,56.5,16.9
lw-ms-ambi-03,2025-04-25T06:18:41.408280Z,71,394,56,17.4
lw-ms-ambi-02,2025-04-25T06:18:45.142860Z,65,638,48.5,19.9
lw-ms-ambi-01,2025-04-25T06:24:42.060001Z,67,323,56.5,16.9
lw-ms-ambi-03,2025-04-25T06:28:41.289477Z,71,396,56,17.3
lw-ms-ambi-02,2025-04-25T06:28:43.680933Z,65,631,48.5,19.9
lw-ms-ambi-01,2025-04-25T06:34:42.826874Z,67,318,56.5,16.9
lw-ms-ambi-03,2025-04-25T06:38:42.295699Z,71,396,56,17.4
lw-ms-ambi-02,2025-04-25T06:38:45.189259Z,65,615,48.5,19.9
lw-ms-ambi-01,2025-04-25T06:44:43.143327Z,67,318,56.5,16.9
lw-ms-ambi-02,2025-04-25T06:48:43.690955Z,65,635,48.5,19.9
lw-ms-ambi-03,2025-04-25T06:48:44.260898Z,71,396,56,17.3
lw-ms-ambi-01,2025-04-25T06:54:43.354581Z,67,317,56.5,16.9
lw-ms-ambi-02,2025-04-25T06:58:43.557911Z,65,630,48.5,19.9
lw-ms-ambi-01,2025-04-25T07:04:43.527863Z,67,311,56.5,16.9
lw-ms-ambi-03,2025-04-25T07:08:40.040315Z,71,387,55.5,17.3
lw-ms-ambi-01,2025-04-25T07:14:42.896980Z,67,316,56.5,16.9
lw-ms-ambi-01,2025-04-25T07:24:42.230124Z,67,311,56.5,16.9
lw-ms-ambi-03,2025-04-25T07:28:41.461928Z,71,390,56,17.4
lw-ms-ambi-02,2025-04-25T07:28:47.376807Z,65,641,48.5,19.9
lw-ms-ambi-01,2025-04-25T07:34:39.347098Z,67,318,56.5,16.9
lw-ms-ambi-03,2025-04-25T07:38:44.271652Z,71,398,56,17.4
lw-ms-ambi-02,2025-04-25T07:38:46.165733Z,65,627,48.5,19.9
lw-ms-ambi-01,2025-04-25T07:44:42.579351Z,67,320,56.5,16.9
lw-ms-ambi-03,2025-04-25T07:48:40.698283Z,71,385,56,17.4
lw-ms-ambi-01,2025-04-25T07:54:41.227181Z,67,311,56.5,16.9
lw-ms-ambi-03,2025-04-25T07:58:40.006321Z,71,381,56,17.5
lw-ms-ambi-01,2025-04-25T08:04:41.195912Z,67,318,56.5,16.9
lw-ms-ambi-03,2025-04-25T08:08:40.878681Z,71,390,56,17.5
lw-ms-ambi-02,2025-04-25T08:08:43.913750Z,65,629,48.5,19.9
lw-ms-ambi-01,2025-04-25T08:14:41.577688Z,67,312,56.5,17
lw-ms-ambi-03,2025-04-25T08:18:42.574111Z,71,388,56,17.5
lw-ms-ambi-02,2025-04-25T08:18:45.865089Z,65,609,48.5,19.9
lw-ms-ambi-01,2025-04-25T08:24:41.832463Z,67,311,56.5,17
lw-ms-ambi-03,2025-04-25T08:28:43.958064Z,71,393,56,17.5
lw-ms-ambi-02,2025-04-25T08:28:47.613641Z,65,624,48.5,19.9
lw-ms-ambi-01,2025-04-25T08:34:40.356129Z,67,322,56.5,17
lw-ms-ambi-03,2025-04-25T08:38:40.375502Z,71,395,56,17.5
lw-ms-ambi-02,2025-04-25T08:38:42.267180Z,65,619,48.5,19.9
lw-ms-ambi-03,2025-04-25T08:48:43.209954Z,71,397,56,17.6
lw-ms-ambi-02,2025-04-25T08:48:45.360555Z,65,612,48.5,19.9
lw-ms-ambi-01,2025-04-25T08:54:39.165621Z,67,315,56.5,17.1
lw-ms-ambi-02,2025-04-25T08:58:43.241557Z,65,610,48.5,19.9
lw-ms-ambi-03,2025-04-25T08:58:43.492101Z,71,388,55.5,17.6
lw-ms-ambi-01,2025-04-25T09:04:43.634517Z,67,313,56,17.1
lw-ms-ambi-03,2025-04-25T09:08:40.850542Z,71,391,55.5,17.6
lw-ms-ambi-02,2025-04-25T09:08:45.360933Z,65,624,48.5,19.9
lw-ms-ambi-01,2025-04-25T09:14:43.366763Z,67,313,56,17.2
lw-ms-ambi-03,2025-04-25T09:18:44.080515Z,71,387,55.5,17.6
lw-ms-ambi-02,2025-04-25T09:18:46.424223Z,65,594,48.5,19.9
lw-ms-ambi-03,2025-04-25T09:28:43.990730Z,71,395,55.5,17.7
lw-ms-ambi-02,2025-04-25T09:28:44.939099Z,65,610,48,19.9
lw-ms-ambi-01,2025-04-25T09:34:41.703113Z,67,309,56,17.2
lw-ms-ambi-03,2025-04-25T09:38:40.660528Z,71,398,55.5,17.8
lw-ms-ambi-02,2025-04-25T09:38:46.701616Z,65,616,48.5,19.9
lw-ms-ambi-01,2025-04-25T09:44:43.483389Z,67,307,56,17.2
lw-ms-ambi-03,2025-04-25T09:48:40.411754Z,71,398,55.5,17.8
lw-ms-ambi-02,2025-04-25T09:48:45.054726Z,65,631,48.5,19.9
lw-ms-ambi-01,2025-04-25T09:54:41.018666Z,67,307,56,17.3
lw-ms-ambi-03,2025-04-25T09:58:42.689179Z,71,403,55.5,17.8
lw-ms-ambi-02,2025-04-25T09:58:46.392631Z,65,608,48,19.9
lw-ms-ambi-02,2025-04-25T10:08:42.185292Z,65,609,48,19.9
lw-ms-ambi-03,2025-04-25T10:08:44.657338Z,71,387,55.5,17.8
lw-ms-ambi-01,2025-04-25T10:14:44.000656Z,67,304,56,17.4
lw-ms-ambi-02,2025-04-25T10:18:43.349949Z,65,630,48.5,19.9
lw-ms-ambi-03,2025-04-25T10:18:45.075458Z,71,390,55.5,17.8
lw-ms-ambi-01,2025-04-25T10:24:43.802230Z,67,304,56,17.4
lw-ms-ambi-02,2025-04-25T10:28:44.923290Z,65,616,48,20
lw-ms-ambi-03,2025-04-25T10:28:45.049289Z,71,398,55.5,17.8
lw-ms-ambi-01,2025-04-25T10:34:43.087993Z,67,307,56,17.4
