sensorID,co2,date time,rate_of_change
lw-ms-ambi-03,401.0,2025-04-25 17:58:40,157671.5490677559
lw-ms-ambi-03,408.0,2025-04-25 18:08:41,366895.1401865707
lw-ms-ambi-03,411.0,2025-04-25 18:18:41,157871.51577762415
lw-ms-ambi-03,405.0,2025-04-25 18:28:42,-314478.06931632746
lw-ms-ambi-03,410.0,2025-04-25 18:38:40,263830.25847850984
lw-ms-ambi-03,404.0,2025-04-25 18:48:40,-315247.4356489776
lw-ms-ambi-03,402.0,2025-04-25 18:58:44,-104542.0528512786
lw-ms-ambi-03,414.0,2025-04-25 19:08:41,632996.4154691189
lw-ms-ambi-03,412.0,2025-04-25 19:18:42,-104962.68891936027
lw-ms-ambi-03,413.0,2025-04-25 19:28:44,52443.66509178797
lw-ms-ambi-03,403.0,2025-04-25 19:38:41,-527624.8747756745
lw-ms-ambi-03,414.0,2025-04-25 19:48:43,576356.5869635512
lw-ms-ambi-03,413.0,2025-04-25 19:58:44,-52502.7773105139
lw-ms-ambi-03,425.0,2025-04-25 20:08:42,633131.431954925
lw-ms-ambi-03,407.0,2025-04-25 20:18:42,-944911.6482440013
lw-ms-ambi-03,421.0,2025-04-25 20:28:43,734580.909955813
lw-ms-ambi-03,407.0,2025-04-25 20:38:44,-735636.3697225577
lw-ms-ambi-03,417.0,2025-04-25 20:48:41,527626.2192265159
lw-ms-ambi-03,414.0,2025-04-25 20:58:42,-157414.78730399226
lw-ms-ambi-03,405.0,2025-04-25 21:08:43,-472463.5896959351
lw-ms-ambi-03,413.0,2025-04-25 21:18:43,420313.87444374175
lw-ms-ambi-03,411.0,2025-04-25 21:28:42,-105398.39123005173
lw-ms-ambi-03,403.0,2025-04-25 21:38:40,-421454.6595578155
lw-ms-ambi-03,411.0,2025-04-25 21:48:40,420398.8034744322
lw-ms-ambi-03,416.0,2025-04-25 21:58:41,262457.812752889
lw-ms-ambi-03,406.0,2025-04-25 22:08:39,-527370.0525390408
lw-ms-ambi-03,401.0,2025-04-25 22:18:40,-262237.311282311
lw-ms-ambi-03,414.0,2025-04-25 22:28:44,679669.436232416
lw-ms-ambi-03,404.0,2025-04-25 22:38:39,-529593.3954679032
lw-ms-ambi-03,406.0,2025-04-25 22:48:39,105109.83465270766
lw-ms-ambi-03,403.0,2025-04-25 22:58:41,-157189.03158703356
lw-ms-ambi-03,399.0,2025-04-25 23:08:42,-209727.01645637339
lw-ms-ambi-03,399.0,2025-04-25 23:18:43,0.0
lw-ms-ambi-03,401.0,2025-04-25 23:38:40,52683.49432537823
lw-ms-ambi-03,397.0,2025-04-25 23:48:43,-209202.1883891578
